sample1	sample2	relationship_type
HG00405	HG00403	parent-child
HG00405	HG00404	parent-child
HG00408	HG00406	parent-child
HG00408	HG00407	parent-child
HG00420	HG00418	parent-child
HG00420	HG00419	parent-child
HG00423	HG00421	parent-child
HG00423	HG00422	parent-child
HG00429	HG00427	parent-child
HG00429	HG00428	parent-child
HG00438	HG00436	parent-child
HG00438	HG00437	parent-child
HG00444	HG00442	parent-child
HG00444	HG00443	parent-child
HG00447	HG00445	parent-child
HG00447	HG00446	parent-child
HG00450	HG00448	parent-child
HG00450	HG00449	parent-child
HG00453	HG00451	parent-child
HG00453	HG00452	parent-child
HG00459	HG00457	parent-child
HG00459	HG00458	parent-child
HG00465	HG00463	parent-child
HG00465	HG00464	parent-child
HG00474	HG00472	parent-child
HG00474	HG00473	parent-child
HG00477	HG00475	parent-child
HG00477	HG00476	parent-child
HG00480	HG00478	parent-child
HG00480	HG00479	parent-child
HG00502	HG00500	parent-child
HG00502	HG00501	parent-child
HG00514	HG00512	parent-child
HG00514	HG00513	parent-child
HG00526	HG00524	parent-child
HG00526	HG00525	parent-child
HG00532	HG00530	parent-child
HG00532	HG00531	parent-child
HG00535	HG00533	parent-child
HG00535	HG00534	parent-child
HG00538	HG00536	parent-child
HG00538	HG00537	parent-child
HG00544	HG00542	parent-child
HG00544	HG00543	parent-child
HG00552	HG01075	parent-child
HG00552	HG00551	parent-child
HG00555	HG00553	parent-child
HG00555	HG00554	parent-child
HG00558	HG00556	parent-child
HG00558	HG00557	parent-child
HG00561	HG00559	parent-child
HG00561	HG00560	parent-child
HG00567	HG00565	parent-child
HG00567	HG00566	parent-child
HG00579	HG00577	parent-child
HG00579	HG00578	parent-child
HG00582	HG00580	parent-child
HG00582	HG00581	parent-child
HG00585	HG00583	parent-child
HG00585	HG00584	parent-child
HG00591	HG00589	parent-child
HG00591	HG00590	parent-child
HG00594	HG00592	parent-child
HG00594	HG00593	parent-child
HG00597	HG00595	parent-child
HG00597	HG00596	parent-child
HG00609	HG00607	parent-child
HG00609	HG00608	parent-child
HG00612	HG00610	parent-child
HG00612	HG00611	parent-child
HG00615	HG00613	parent-child
HG00615	HG00614	parent-child
HG00621	HG00619	parent-child
HG00621	HG00620	parent-child
HG00627	HG00625	parent-child
HG00627	HG00626	parent-child
HG00630	HG00628	parent-child
HG00630	HG00629	parent-child
HG00636	HG00634	parent-child
HG00636	HG00635	parent-child
HG00639	HG00637	parent-child
HG00639	HG00638	parent-child
HG00642	HG00640	parent-child
HG00642	HG00641	parent-child
HG00652	HG00650	parent-child
HG00652	HG00651	parent-child
HG00655	HG00653	parent-child
HG00655	HG00654	parent-child
HG00658	HG00656	parent-child
HG00658	HG00657	parent-child
HG00664	HG00662	parent-child
HG00664	HG00663	parent-child
HG00673	HG00671	parent-child
HG00673	HG00672	parent-child
HG00685	HG00683	parent-child
HG00685	HG00684	parent-child
HG00691	HG00689	parent-child
HG00691	HG00690	parent-child
HG00694	HG00692	parent-child
HG00694	HG00693	parent-child
HG00700	HG00698	parent-child
HG00700	HG00699	parent-child
HG00702	HG00656	parent-child
