fid1	iid1	fid2	iid2	total_ibd_cm	num_segments	predicted_relationship
HG00551	HG00551	HG00551	HG00551	4.808	1	unrelated
HG00551	HG00551	HG00553	HG00553	4.892	1	unrelated
HG00551	HG00551	HG00554	HG00554	10.67	2	second-degree
HG00551	HG00551	HG00732	HG00732	4.705	1	unrelated
HG00551	HG00551	HG01052	HG01052	27.58	5	full-sibling
HG00551	HG00551	HG01079	HG01079	4.092	1	unrelated
HG00551	HG00551	HG01101	HG01101	10.207	2	second-degree
HG00551	HG00551	HG01205	HG01205	6.865	2	third-degree
HG00551	HG00551	HG01311	HG01311	15.41	3	second-degree
HG00551	HG00551	HG01323	HG01323	13.520999999999999	3	second-degree
HG00551	HG00551	HG01326	HG01326	3.793	1	unrelated
HG00551	HG00551	HG01392	HG01392	13.684000000000001	3	second-degree
HG00553	HG00553	HG00731	HG00731	4.992	1	unrelated
HG00553	HG00553	HG00736	HG00736	4.005	1	unrelated
HG00553	HG00553	HG00743	HG00743	3.919	1	unrelated
HG00553	HG00553	HG01054	HG01054	3.295	1	unrelated
HG00553	HG00553	HG01095	HG01095	10.189	2	second-degree
HG00553	HG00553	HG01167	HG01167	3.633	1	unrelated
HG00553	HG00553	HG01173	HG01173	5.111	1	third-degree
HG00553	HG00553	HG01183	HG01183	3.919	1	unrelated
HG00553	HG00553	HG01190	HG01190	3.633	1	unrelated
HG00553	HG00553	HG01191	HG01191	3.633	1	unrelated
HG00553	HG00553	HG01303	HG01303	3.198	1	unrelated
HG00553	HG00553	HG01311	HG01311	4.305	1	unrelated
HG00553	HG00553	HG01323	HG01323	5.054	1	third-degree
HG00554	HG00554	HG00637	HG00637	3.328	1	unrelated
HG00554	HG00554	HG00638	HG00638	5.552	1	third-degree
HG00554	HG00554	HG01052	HG01052	6.485	1	third-degree
HG00554	HG00554	HG01077	HG01077	5.33	1	third-degree
HG00554	HG00554	HG01101	HG01101	7.158	1	third-degree
HG00554	HG00554	HG01247	HG01247	9.546	2	third-degree
HG00554	HG00554	HG01311	HG01311	3.315	1	unrelated
HG00554	HG00554	HG01323	HG01323	4.396	1	unrelated
HG00554	HG00554	HG01392	HG01392	5.003	1	third-degree
HG00637	HG00637	HG00638	HG00638	3.328	1	unrelated
HG00637	HG00637	HG01089	HG01089	6.16	1	third-degree
HG00637	HG00637	HG01247	HG01247	3.328	1	unrelated
HG00638	HG00638	HG01073	HG01073	3.077	1	unrelated
HG00638	HG00638	HG01089	HG01089	5.076	1	third-degree
HG00638	HG00638	HG01170	HG01170	6.343	1	third-degree
HG00638	HG00638	HG01247	HG01247	5.877	1	third-degree
HG00638	HG00638	HG01393	HG01393	3.115	1	unrelated
HG00638	HG00638	HG01413	HG01413	5.71	1	third-degree
HG00640	HG00640	HG00732	HG00732	4.064	1	unrelated
HG00640	HG00640	HG01058	HG01058	4.297	1	unrelated
HG00640	HG00640	HG01060	HG01060	6.01	2	third-degree
HG00640	HG00640	HG01082	HG01082	4.454	1	unrelated
HG00640	HG00640	HG01105	HG01105	8.201	2	third-degree
HG00640	HG00640	HG01111	HG01111	4.297	1	unrelated
HG00640	HG00640	HG01164	HG01164	3.172	1	unrelated
HG00640	HG00640	HG01168	HG01168	4.454	1	unrelated
HG00640	HG00640	HG01171	HG01171	7.736000000000001	2	third-degree
HG00640	HG00640	HG01205	HG01205	4.465	1	unrelated
HG00640	HG00640	HG01405	HG01405	4.297	1	unrelated
