fid1	iid1	fid2	iid2	total_ibd_cm	num_segments	max_segment_cm	proportion_shared	predicted_relationship
HG00551	HG00551	HG00551	HG00551	4.808	1	4.808	0.08741818181818181	unrelated
HG00551	HG00551	HG00553	HG00553	4.892	1	4.892	0.08894545454545455	unrelated
HG00551	HG00551	HG00554	HG00554	10.67	2	5.658	0.194	second-degree
HG00551	HG00551	HG00732	HG00732	4.705	1	4.705	0.08554545454545455	unrelated
HG00551	HG00551	HG01052	HG01052	27.58	5	8.132	0.5014545454545454	full-sibling
HG00551	HG00551	HG01079	HG01079	4.092	1	4.092	0.0744	unrelated
HG00551	HG00551	HG01101	HG01101	10.207	2	5.195	0.1855818181818182	second-degree
HG00551	HG00551	HG01205	HG01205	6.865	2	3.574	0.12481818181818183	third-degree
HG00551	HG00551	HG01311	HG01311	15.41	3	7.533	0.2801818181818182	second-degree
HG00551	HG00551	HG01323	HG01323	13.520999999999999	3	5.242	0.24583636363636363	second-degree
HG00551	HG00551	HG01326	HG01326	3.793	1	3.793	0.06896363636363637	unrelated
HG00551	HG00551	HG01392	HG01392	13.684000000000001	3	5.003	0.24880000000000002	second-degree
HG00553	HG00553	HG00731	HG00731	4.992	1	4.992	0.09076363636363637	unrelated
HG00553	HG00553	HG00736	HG00736	4.005	1	4.005	0.07281818181818181	unrelated
HG00553	HG00553	HG00743	HG00743	3.919	1	3.919	0.07125454545454546	unrelated
HG00553	HG00553	HG01054	HG01054	3.295	1	3.295	0.059909090909090905	unrelated
HG00553	HG00553	HG01095	HG01095	10.189	2	5.111	0.18525454545454545	second-degree
HG00553	HG00553	HG01167	HG01167	3.633	1	3.633	0.06605454545454545	unrelated
HG00553	HG00553	HG01173	HG01173	5.111	1	5.111	0.09292727272727272	third-degree
HG00553	HG00553	HG01183	HG01183	3.919	1	3.919	0.07125454545454546	unrelated
HG00553	HG00553	HG01190	HG01190	3.633	1	3.633	0.06605454545454545	unrelated
HG00553	HG00553	HG01191	HG01191	3.633	1	3.633	0.06605454545454545	unrelated
HG00553	HG00553	HG01303	HG01303	3.198	1	3.198	0.05814545454545454	unrelated
HG00553	HG00553	HG01311	HG01311	4.305	1	4.305	0.07827272727272727	unrelated
HG00553	HG00553	HG01323	HG01323	5.054	1	5.054	0.09189090909090909	third-degree
HG00554	HG00554	HG00637	HG00637	3.328	1	3.328	0.06050909090909091	unrelated
HG00554	HG00554	HG00638	HG00638	5.552	1	5.552	0.10094545454545453	third-degree
HG00554	HG00554	HG01052	HG01052	6.485	1	6.485	0.11790909090909092	third-degree
HG00554	HG00554	HG01077	HG01077	5.33	1	5.33	0.09690909090909092	third-degree
HG00554	HG00554	HG01101	HG01101	7.158	1	7.158	0.13014545454545456	third-degree
HG00554	HG00554	HG01247	HG01247	9.546	2	5.33	0.17356363636363636	third-degree
HG00554	HG00554	HG01311	HG01311	3.315	1	3.315	0.06027272727272727	unrelated
HG00554	HG00554	HG01323	HG01323	4.396	1	4.396	0.07992727272727272	unrelated
HG00554	HG00554	HG01392	HG01392	5.003	1	5.003	0.09096363636363637	third-degree
