fid1	iid1	fid2	iid2	total_ibd_cm	num_segments	predicted_relationship
HG00096	HG00096	HG00096	HG00096	6.822	1	third-degree
HG00099	HG00099	HG00119	HG00119	3.259	1	unrelated
HG00100	HG00100	HG00109	HG00109	4.23	1	unrelated
HG00105	HG00105	HG00106	HG00106	3.737	1	unrelated
HG00112	HG00112	HG00116	HG00116	8.312999999999999	2	third-degree
HG00112	HG00112	HG00123	HG00123	15.755	3	second-degree
HG00114	HG00114	HG00116	HG00116	19.059	3	second-degree
HG00114	HG00114	HG00119	HG00119	3.7	1	unrelated
HG00114	HG00114	HG00120	HG00120	16.637999999999998	3	second-degree
HG00115	HG00115	HG00116	HG00116	3.131	1	unrelated
HG00116	HG00116	HG00120	HG00120	33.717	5	full-sibling
HG00116	HG00116	HG00123	HG00123	4.216	1	unrelated
HG00116	HG00116	HG00243	HG00243	3.086	1	unrelated
HG00117	HG00117	HG00117	HG00117	6.333	1	third-degree
HG00119	HG00119	HG00121	HG00121	5.177	1	third-degree
HG00234	HG00234	NA11881	NA11881	3.952	1	unrelated
HG00236	HG00236	HG00264	HG00264	3.125	1	unrelated
HG00236	HG00236	NA10847	NA10847	6.051	1	third-degree
HG00238	HG00238	HG00240	HG00240	6.76	2	third-degree
HG00253	HG00253	HG00264	HG00264	3.85	1	unrelated
NA07037	NA07037	NA12400	NA12400	4.738	1	unrelated
NA07048	NA07048	NA12046	NA12046	4.646	1	unrelated
NA11881	NA11881	NA12003	NA12003	3.171	1	unrelated
NA11919	NA11919	NA12044	NA12044	3.168	1	unrelated
NA11931	NA11931	NA11933	NA11933	9.744	2	third-degree
NA11931	NA11931	NA12400	NA12400	3.391	1	unrelated
NA11931	NA11931	NA12748	NA12748	4.769	1	unrelated
NA11994	NA11994	NA11994	NA11994	3.107	1	unrelated
NA12156	NA12156	NA12874	NA12874	3.839	1	unrelated
NA12399	NA12399	NA20585	NA20585	3.197	1	unrelated
NA12760	NA12760	NA12830	NA12830	28.905	3	full-sibling
NA20503	NA20503	NA20503	NA20503	5.199	1	third-degree
NA20515	NA20515	NA20808	NA20808	4.803	1	unrelated
NA20520	NA20520	NA20589	NA20589	3.45	1	unrelated
NA20539	NA20539	NA20783	NA20783	6.686	2	third-degree
NA20586	NA20586	NA20826	NA20826	3.402	1	unrelated
NA20769	NA20769	NA20796	NA20796	4.246	1	unrelated
NA20774	NA20774	NA20826	NA20826	3.291	1	unrelated
NA20786	NA20786	NA20811	NA20811	3.867	1	unrelated
