fid1	iid1	fid2	iid2	total_ibd_cm	num_segments	predicted_relationship
HG00403	HG00403	HG00405	HG00405	44.836	7	full-sibling
HG00404	HG00404	HG00405	HG00405	33.422	6	full-sibling
HG00406	HG00406	HG00408	HG00408	43.425	7	full-sibling
HG00407	HG00407	HG00408	HG00408	44.043	6	full-sibling
HG00418	HG00418	HG00420	HG00420	54.762	9	full-sibling
HG00418	HG00418	HG00427	HG00427	30.196	6	full-sibling
HG00418	HG00418	HG00429	HG00429	4.061	1	unrelated
HG00419	HG00419	HG00420	HG00420	53.473	7	full-sibling
HG00420	HG00420	HG00427	HG00427	39.99	6	full-sibling
HG00420	HG00420	HG00429	HG00429	4.736	1	unrelated
HG00421	HG00421	HG00423	HG00423	37.371	8	full-sibling
HG00422	HG00422	HG00423	HG00423	44.412	7	full-sibling
HG00427	HG00427	HG00429	HG00429	50.386	9	full-sibling
HG00428	HG00428	HG00429	HG00429	50.741	8	full-sibling
HG00436	HG00436	HG00438	HG00438	42.169	6	full-sibling
HG00437	HG00437	HG00438	HG00438	41.869	6	full-sibling
HG00442	HG00442	HG00444	HG00444	60.171	8	full-sibling
HG00443	HG00443	HG00444	HG00444	42.221	7	full-sibling
HG00445	HG00445	HG00447	HG00447	38.234	7	full-sibling
HG00446	HG00446	HG00447	HG00447	38.386	7	full-sibling
HG00446	HG00446	HG00514	HG00514	3.273	1	unrelated
HG00448	HG00448	HG00450	HG00450	52.897	9	full-sibling
HG00449	HG00449	HG00450	HG00450	46.427	8	full-sibling
HG00451	HG00451	HG00453	HG00453	45.476	9	full-sibling
HG00452	HG00452	HG00453	HG00453	33.188	5	full-sibling
HG00457	HG00457	HG00459	HG00459	45.153999999999996	6	full-sibling
HG00457	HG00457	HG00476	HG00476	4.533	1	unrelated
HG00458	HG00458	HG00459	HG00459	43.718	7	full-sibling
HG00459	HG00459	HG00476	HG00476	12.454	2	second-degree
HG00463	HG00463	HG00465	HG00465	52.937	5	full-sibling
HG00463	HG00463	HG00478	HG00478	13.106	3	second-degree
HG00463	HG00463	HG00480	HG00480	12.688	2	second-degree
HG00464	HG00464	HG00465	HG00465	45.037	9	full-sibling
HG00465	HG00465	HG00478	HG00478	6.304	1	third-degree
HG00465	HG00465	HG00480	HG00480	6.304	1	third-degree
HG00472	HG00472	HG00474	HG00474	47.041	9	full-sibling
HG00473	HG00473	HG00474	HG00474	43.363	6	full-sibling
HG00475	HG00475	HG00477	HG00477	41.668	8	full-sibling
HG00475	HG00475	HG00500	HG00500	4.532	1	unrelated
HG00475	HG00475	HG00542	HG00542	8.808	2	third-degree
HG00475	HG00475	HG00544	HG00544	4.844	1	unrelated
HG00476	HG00476	HG00477	HG00477	58.399	9	full-sibling
HG00477	HG00477	HG00500	HG00500	9.443	2	third-degree
HG00478	HG00478	HG00480	HG00480	42.59	6	full-sibling
HG00479	HG00479	HG00480	HG00480	34.691	7	full-sibling
HG00500	HG00500	HG00502	HG00502	54.98	9	full-sibling
HG00501	HG00501	HG00502	HG00502	56.383	11	full-sibling
HG00501	HG00501	HG00512	HG00512	76.274	14	full-sibling
HG00501	HG00501	HG00514	HG00514	50.651	10	full-sibling
HG00502	HG00502	HG00512	HG00512	53.172	7	full-sibling
HG00502	HG00502	HG00514	HG00514	31.396	4	full-sibling
HG00512	HG00512	HG00514	HG00514	51.539	6	full-sibling
HG00513	HG00513	HG00514	HG00514	51.226	7	full-sibling
HG00524	HG00524	HG00526	HG00526	48.788	6	full-sibling
HG00524	HG00524	HG00535	HG00535	3.509	1	unrelated
HG00525	HG00525	HG00525	HG00525	11.355	2	second-degree
HG00525	HG00525	HG00526	HG00526	61.95	8	full-sibling
HG00526	HG00526	HG00535	HG00535	3.509	1	unrelated
HG00530	HG00530	HG00532	HG00532	38.094	6	full-sibling
HG00531	HG00531	HG00532	HG00532	43.805	7	full-sibling
HG00533	HG00533	HG00535	HG00535	43.216	9	full-sibling
HG00534	HG00534	HG00535	HG00535	48.323	7	full-sibling
HG00536	HG00536	HG00538	HG00538	53.589999999999996	6	full-sibling
HG00537	HG00537	HG00538	HG00538	30.916	6	full-sibling
HG00542	HG00542	HG00544	HG00544	40.319	7	full-sibling
HG00543	HG00543	HG00544	HG00544	41.150999999999996	7	full-sibling
HG00551	HG00551	HG00551	HG00551	5.01	1	third-degree
HG00551	HG00551	HG00552	HG00552	51.332	6	full-sibling
HG00551	HG00551	HG00553	HG00553	4.93	1	unrelated
HG00551	HG00551	HG00554	HG00554	10.676	2	second-degree
HG00551	HG00551	HG00555	HG00555	10.676	2	second-degree
HG00551	HG00551	HG00732	HG00732	4.527	1	unrelated
HG00551	HG00551	HG00733	HG00733	4.527	1	unrelated
HG00551	HG00551	HG01052	HG01052	28.006	5	full-sibling
HG00551	HG00551	HG01053	HG01053	21.253999999999998	2	full-sibling
HG00551	HG00551	HG01079	HG01079	4.112	1	unrelated
HG00551	HG00551	HG01081	HG01081	4.215	1	unrelated
HG00551	HG00551	HG01101	HG01101	10.405999999999999	2	second-degree
HG00551	HG00551	HG01103	HG01103	10.405999999999999	2	second-degree
HG00551	HG00551	HG01205	HG01205	6.962	2	third-degree
HG00552	HG00552	HG00554	HG00554	5.666	1	third-degree
HG00552	HG00552	HG00555	HG00555	5.666	1	third-degree
HG00552	HG00552	HG00732	HG00732	4.527	1	unrelated
HG00552	HG00552	HG00733	HG00733	4.527	1	unrelated
HG00552	HG00552	HG01052	HG01052	19.656000000000002	3	second-degree
HG00552	HG00552	HG01053	HG01053	16.244	1	second-degree
HG00552	HG00552	HG01075	HG01075	50.876999999999995	7	full-sibling
HG00552	HG00552	HG01079	HG01079	4.112	1	unrelated
HG00552	HG00552	HG01081	HG01081	4.215	1	unrelated
HG00552	HG00552	HG01101	HG01101	5.396	1	third-degree
HG00552	HG00552	HG01103	HG01103	5.396	1	third-degree
HG00553	HG00553	HG00555	HG00555	32.183	7	full-sibling
HG00553	HG00553	HG00731	HG00731	4.93	1	unrelated
HG00553	HG00553	HG00733	HG00733	6.415	1	third-degree
HG00553	HG00553	HG00736	HG00736	4.208	1	unrelated
HG00553	HG00553	HG00738	HG00738	4.208	1	unrelated
HG00553	HG00553	HG01054	HG01054	6.977	2	third-degree
HG00553	HG00553	HG01056	HG01056	3.273	1	unrelated
HG00553	HG00553	HG01095	HG01095	10.228	2	second-degree
HG00553	HG00553	HG01096	HG01096	5.114	1	third-degree
HG00553	HG00553	HG01167	HG01167	3.659	1	unrelated
HG00553	HG00553	HG01173	HG01173	5.114	1	third-degree
HG00553	HG00553	HG01175	HG01175	5.114	1	third-degree
HG00553	HG00553	HG01183	HG01183	3.729	1	unrelated
HG00553	HG00553	HG01184	HG01184	3.729	1	unrelated
HG00553	HG00553	HG01190	HG01190	3.659	1	unrelated
HG00553	HG00553	HG01191	HG01191	3.659	1	unrelated
HG00553	HG00553	HG01249	HG01249	5.351	1	third-degree
HG00554	HG00554	HG00555	HG00555	40.378	5	full-sibling
HG00554	HG00554	HG00637	HG00637	3.43	1	unrelated
HG00554	HG00554	HG00638	HG00638	5.27	1	third-degree
HG00554	HG00554	HG00639	HG00639	14.68	3	second-degree
HG00554	HG00554	HG01052	HG01052	6.223	1	third-degree
HG00554	HG00554	HG01053	HG01053	6.223	1	third-degree
HG00554	HG00554	HG01101	HG01101	7.179	1	third-degree
HG00554	HG00554	HG01103	HG01103	7.179	1	third-degree
HG00554	HG00554	HG01247	HG01247	9.765	2	third-degree
HG00555	HG00555	HG00637	HG00637	3.43	1	unrelated
HG00555	HG00555	HG00638	HG00638	6.846	1	third-degree
HG00555	HG00555	HG00639	HG00639	17.23	2	second-degree
HG00555	HG00555	HG00731	HG00731	6.135	2	third-degree
HG00555	HG00555	HG00733	HG00733	6.529	1	third-degree
HG00555	HG00555	HG01052	HG01052	6.223	1	third-degree
HG00555	HG00555	HG01053	HG01053	6.223	1	third-degree
HG00555	HG00555	HG01101	HG01101	7.672	1	third-degree
HG00555	HG00555	HG01103	HG01103	7.856	1	third-degree
HG00555	HG00555	HG01167	HG01167	3.659	1	unrelated
HG00555	HG00555	HG01190	HG01190	3.659	1	unrelated
HG00555	HG00555	HG01191	HG01191	3.659	1	unrelated
HG00555	HG00555	HG01247	HG01247	11.535	2	second-degree
HG00556	HG00556	HG00558	HG00558	25.853	5	full-sibling
HG00557	HG00557	HG00558	HG00558	41.919	9	full-sibling
HG00557	HG00557	HG00627	HG00627	3.949	1	unrelated
HG00557	HG00557	HG01944	HG01944	3.162	1	unrelated
HG00558	HG00558	HG00627	HG00627	4.813	1	unrelated
HG00559	HG00559	HG00561	HG00561	38.763	7	full-sibling
HG00560	HG00560	HG00561	HG00561	38.113	7	full-sibling
HG00565	HG00565	HG00567	HG00567	39.412	8	full-sibling
HG00566	HG00566	HG00567	HG00567	39.227	7	full-sibling
HG00577	HG00577	HG00579	HG00579	56.378	9	full-sibling
HG00577	HG00577	HG00584	HG00584	72.187	13	full-sibling
HG00577	HG00577	HG00585	HG00585	28.873	4	full-sibling
HG00577	HG00577	HG00595	HG00595	17.901	3	second-degree
HG00577	HG00577	HG00597	HG00597	21.79	3	full-sibling
HG00578	HG00578	HG00579	HG00579	60.94	7	full-sibling
HG00578	HG00578	HG00581	HG00581	96.187	16	full-sibling
HG00578	HG00578	HG00582	HG00582	63.722	8	full-sibling
HG00578	HG00578	HG00607	HG00607	22.78	3	full-sibling
HG00578	HG00578	HG00609	HG00609	24.83	2	full-sibling
HG00578	HG00578	HG00635	HG00635	65.42	10	full-sibling
HG00578	HG00578	HG00636	HG00636	50.217999999999996	5	full-sibling
HG00579	HG00579	HG00581	HG00581	41.759	7	full-sibling
HG00579	HG00579	HG00582	HG00582	16.545	3	second-degree
HG00579	HG00579	HG00584	HG00584	44.488	6	full-sibling
HG00579	HG00579	HG00595	HG00595	4.152	1	unrelated
HG00579	HG00579	HG00597	HG00597	5.758	1	third-degree
HG00579	HG00579	HG00607	HG00607	5.439	1	third-degree
HG00579	HG00579	HG00609	HG00609	7.789	1	third-degree
HG00579	HG00579	HG00635	HG00635	17.759999999999998	3	second-degree
HG00580	HG00580	HG00582	HG00582	50.442	7	full-sibling
HG00580	HG00580	HG02122	HG02122	3.04	1	unrelated
HG00581	HG00581	HG00582	HG00582	64.367	8	full-sibling
HG00581	HG00581	HG00607	HG00607	20.159	3	full-sibling
HG00581	HG00581	HG00609	HG00609	22.053	3	full-sibling
HG00581	HG00581	HG00635	HG00635	73.639	11	full-sibling
HG00581	HG00581	HG00636	HG00636	46.533	6	full-sibling
HG00582	HG00582	HG00607	HG00607	23.012	3	full-sibling
HG00582	HG00582	HG00609	HG00609	26.92	2	full-sibling
HG00582	HG00582	HG00635	HG00635	58.189	5	full-sibling
HG00582	HG00582	HG00636	HG00636	46.586	1	parent-child
HG00583	HG00583	HG00585	HG00585	39.607	6	full-sibling
HG00584	HG00584	HG00585	HG00585	50.105	7	full-sibling
HG00584	HG00584	HG00595	HG00595	14.938	3	second-degree
HG00584	HG00584	HG00597	HG00597	18.396	2	second-degree
HG00585	HG00585	HG00595	HG00595	13.84	2	second-degree
HG00585	HG00585	HG00597	HG00597	15.963	1	second-degree
HG00589	HG00589	HG00591	HG00591	31.619	6	full-sibling
HG00590	HG00590	HG00591	HG00591	42.586	6	full-sibling
HG00592	HG00592	HG00594	HG00594	35.46	6	full-sibling
HG00593	HG00593	HG00594	HG00594	44.341	8	full-sibling
HG00595	HG00595	HG00597	HG00597	50.152	8	full-sibling
HG00596	HG00596	HG00597	HG00597	51.085	7	full-sibling
HG00596	HG00596	HG02032	HG02032	3.142	1	unrelated
HG00597	HG00597	HG00626	HG00626	3.41	1	unrelated
HG00607	HG00607	HG00609	HG00609	53.116	7	full-sibling
HG00607	HG00607	HG00635	HG00635	23.002	4	full-sibling
HG00607	HG00607	HG00636	HG00636	17.002000000000002	2	second-degree
HG00608	HG00608	HG00609	HG00609	48.141999999999996	9	full-sibling
HG00609	HG00609	HG00635	HG00635	25.192	3	full-sibling
HG00609	HG00609	HG00636	HG00636	18.167	1	second-degree
HG00610	HG00610	HG00612	HG00612	38.903999999999996	6	full-sibling
HG00611	HG00611	HG00612	HG00612	53.626999999999995	9	full-sibling
HG00613	HG00613	HG00615	HG00615	41.055	9	full-sibling
HG00614	HG00614	HG00615	HG00615	37.724999999999994	7	full-sibling
HG00619	HG00619	HG00621	HG00621	53.144	6	full-sibling
HG00619	HG00619	HG00626	HG00626	3.73	1	unrelated
HG00619	HG00619	HG00627	HG00627	3.73	1	unrelated
HG00620	HG00620	HG00621	HG00621	43.211	8	full-sibling
HG00625	HG00625	HG00627	HG00627	48.311	9	full-sibling
HG00626	HG00626	HG00627	HG00627	45.245000000000005	10	full-sibling
HG00628	HG00628	HG00630	HG00630	56.657	9	full-sibling
HG00629	HG00629	HG00630	HG00630	58.268	9	full-sibling
HG00634	HG00634	HG00636	HG00636	58.748000000000005	7	full-sibling
HG00635	HG00635	HG00636	HG00636	51.64	5	full-sibling
HG00637	HG00637	HG00638	HG00638	3.43	1	unrelated
HG00637	HG00637	HG00639	HG00639	36.304	8	full-sibling
HG00637	HG00637	HG01247	HG01247	3.43	1	unrelated
HG00638	HG00638	HG00639	HG00639	54.796	10	full-sibling
HG00638	HG00638	HG01073	HG01073	3.035	1	unrelated
HG00638	HG00638	HG01170	HG01170	6.327	1	third-degree
HG00638	HG00638	HG01172	HG01172	5.25	1	third-degree
HG00638	HG00638	HG01247	HG01247	9.512	2	third-degree
HG00639	HG00639	HG00639	HG00639	4.796	1	unrelated
HG00639	HG00639	HG01247	HG01247	12.221	3	second-degree
HG00640	HG00640	HG00642	HG00642	66.063	8	full-sibling
HG00640	HG00640	HG00732	HG00732	4.063	1	unrelated
HG00640	HG00640	HG00733	HG00733	6.757	2	third-degree
HG00640	HG00640	HG01060	HG01060	3.006	1	unrelated
HG00640	HG00640	HG01062	HG01062	4.059	1	unrelated
HG00640	HG00640	HG01082	HG01082	4.976	1	unrelated
HG00640	HG00640	HG01084	HG01084	4.976	1	unrelated
HG00640	HG00640	HG01105	HG01105	8.23	2	third-degree
HG00640	HG00640	HG01111	HG01111	4.271	1	unrelated
HG00640	HG00640	HG01168	HG01168	4.458	1	unrelated
HG00640	HG00640	HG01171	HG01171	7.746	2	third-degree
HG00640	HG00640	HG01172	HG01172	3.937	1	unrelated
HG00640	HG00640	HG01205	HG01205	3.608	1	unrelated
HG00641	HG00641	HG00642	HG00642	49.861000000000004	5	full-sibling
HG00641	HG00641	HG00740	HG00740	3.233	1	unrelated
HG00641	HG00641	HG00741	HG00741	3.332	1	unrelated
HG00641	HG00641	HG01055	HG01055	3.086	1	unrelated
HG00641	HG00641	HG01056	HG01056	3.233	1	unrelated
HG00641	HG00641	HG01072	HG01072	6.631	2	third-degree
HG00641	HG00641	HG01102	HG01102	6.141	1	third-degree
HG00641	HG00641	HG01103	HG01103	7.376	1	third-degree
HG00641	HG00641	HG01173	HG01173	3.441	1	unrelated
HG00641	HG00641	HG01175	HG01175	3.441	1	unrelated
HG00641	HG00641	HG01176	HG01176	4.269	1	unrelated
HG00641	HG00641	HG01197	HG01197	6.631	2	third-degree
HG00641	HG00641	HG01199	HG01199	6.319	2	third-degree
HG00641	HG00641	HG01205	HG01205	3.374	1	unrelated
HG00641	HG00641	HG01672	HG01672	3.992	1	unrelated
HG00642	HG00642	HG00740	HG00740	3.233	1	unrelated
HG00642	HG00642	HG00741	HG00741	3.332	1	unrelated
HG00642	HG00642	HG01056	HG01056	3.233	1	unrelated
HG00642	HG00642	HG01060	HG01060	3.006	1	unrelated
HG00642	HG00642	HG01062	HG01062	4.059	1	unrelated
HG00642	HG00642	HG01072	HG01072	3.545	1	unrelated
HG00642	HG00642	HG01082	HG01082	4.803	1	unrelated
HG00642	HG00642	HG01084	HG01084	4.803	1	unrelated
HG00642	HG00642	HG01098	HG01098	3.069	1	unrelated
HG00642	HG00642	HG01102	HG01102	9.857	2	third-degree
HG00642	HG00642	HG01103	HG01103	9.977	1	third-degree
HG00642	HG00642	HG01105	HG01105	8.23	2	third-degree
HG00642	HG00642	HG01111	HG01111	4.271	1	unrelated
HG00642	HG00642	HG01168	HG01168	4.458	1	unrelated
HG00642	HG00642	HG01171	HG01171	7.746	2	third-degree
HG00642	HG00642	HG01172	HG01172	3.937	1	unrelated
HG00642	HG00642	HG01173	HG01173	3.441	1	unrelated
HG00642	HG00642	HG01175	HG01175	3.441	1	unrelated
HG00642	HG00642	HG01197	HG01197	3.545	1	unrelated
HG00642	HG00642	HG01199	HG01199	3.233	1	unrelated
HG00642	HG00642	HG01205	HG01205	3.608	1	unrelated
HG00642	HG00642	HG01672	HG01672	3.992	1	unrelated
HG00650	HG00650	HG00652	HG00652	32.735	6	full-sibling
HG00651	HG00651	HG00652	HG00652	32.842	5	full-sibling
HG00652	HG00652	HG00707	HG00707	3.013	1	unrelated
HG00653	HG00653	HG00655	HG00655	51.923	7	full-sibling
HG00654	HG00654	HG00655	HG00655	46.889	7	full-sibling
HG00656	HG00656	HG00658	HG00658	60.521	8	full-sibling
HG00656	HG00656	HG00702	HG00702	66.21199999999999	9	full-sibling
HG00656	HG00656	HG00703	HG00703	10.35	2	second-degree
HG00657	HG00657	HG00658	HG00658	59.268	6	full-sibling
HG00657	HG00657	HG00702	HG00702	60.407	4	parent-child
HG00657	HG00657	HG00703	HG00703	51.093	2	parent-child
HG00658	HG00658	HG00702	HG00702	87.195	7	full-sibling
HG00658	HG00658	HG00703	HG00703	58.567	5	full-sibling
HG00662	HG00662	HG00664	HG00664	36.701	7	full-sibling
HG00662	HG00662	HG00699	HG00699	3.79	1	unrelated
HG00662	HG00662	HG00701	HG00701	6.689	1	third-degree
HG00662	HG00662	HG00708	HG00708	3.209	1	unrelated
HG00662	HG00662	HG00709	HG00709	3.209	1	unrelated
HG00663	HG00663	HG00664	HG00664	47.282	8	full-sibling
HG00664	HG00664	HG00699	HG00699	3.79	1	unrelated
HG00671	HG00671	HG00673	HG00673	54.518	8	full-sibling
HG00672	HG00672	HG00673	HG00673	42.163	8	full-sibling
HG00672	HG00672	HG00698	HG00698	17.561	3	second-degree
HG00672	HG00672	HG00700	HG00700	20.764	4	full-sibling
HG00673	HG00673	HG00698	HG00698	14.368	3	second-degree
HG00673	HG00673	HG00700	HG00700	16.248	3	second-degree
HG00683	HG00683	HG00685	HG00685	40.112	8	full-sibling
HG00684	HG00684	HG00685	HG00685	46.761	9	full-sibling
HG00689	HG00689	HG00691	HG00691	39.664	7	full-sibling
HG00690	HG00690	HG00691	HG00691	42.381	8	full-sibling
HG00692	HG00692	HG00694	HG00694	52.041	9	full-sibling
HG00693	HG00693	HG00694	HG00694	43.145	9	full-sibling
HG00698	HG00698	HG00700	HG00700	46.992999999999995	7	full-sibling
HG00699	HG00699	HG00700	HG00700	52.24	9	full-sibling
HG00701	HG00701	HG00703	HG00703	52.093999999999994	4	parent-child
HG00702	HG00702	HG00703	HG00703	65.55	3	parent-child
HG00704	HG00704	HG00706	HG00706	45.859	8	full-sibling
HG00705	HG00705	HG00706	HG00706	36.786	6	full-sibling
HG00707	HG00707	HG00709	HG00709	54.367000000000004	8	full-sibling
HG00708	HG00708	HG00709	HG00709	48.266	8	full-sibling
HG00731	HG00731	HG00733	HG00733	53.82	6	full-sibling
HG00731	HG00731	HG01048	HG01048	5.438	1	third-degree
HG00731	HG00731	HG01054	HG01054	4.068	1	unrelated
HG00731	HG00731	HG01080	HG01080	4.96	1	unrelated
HG00731	HG00731	HG01168	HG01168	4.101	1	unrelated
HG00731	HG00731	HG01169	HG01169	4.101	1	unrelated
HG00732	HG00732	HG00733	HG00733	51.760000000000005	7	full-sibling
HG00732	HG00732	HG01052	HG01052	4.357	1	unrelated
HG00732	HG00732	HG01053	HG01053	4.527	1	unrelated
HG00732	HG00732	HG01174	HG01174	6.673	1	third-degree
HG00732	HG00732	HG01175	HG01175	3.436	1	unrelated
HG00732	HG00732	HG01694	HG01694	3.262	1	unrelated
HG00733	HG00733	HG01052	HG01052	4.357	1	unrelated
HG00733	HG00733	HG01053	HG01053	4.527	1	unrelated
HG00733	HG00733	HG01054	HG01054	4.068	1	unrelated
HG00734	HG00734	HG00735	HG00735	34.633	8	full-sibling
HG00734	HG00734	HG01054	HG01054	3.126	1	unrelated
HG00734	HG00734	HG01056	HG01056	7.475	2	third-degree
HG00735	HG00735	HG01047	HG01047	62.573	13	full-sibling
HG00735	HG00735	HG01061	HG01061	7.652	2	third-degree
HG00735	HG00735	HG01062	HG01062	7.652	2	third-degree
HG00735	HG00735	HG01067	HG01067	5.491	1	third-degree
HG00735	HG00735	HG01068	HG01068	5.491	1	third-degree
HG00735	HG00735	HG01071	HG01071	3.051	1	unrelated
HG00735	HG00735	HG01097	HG01097	3.253	1	unrelated
HG00735	HG00735	HG01098	HG01098	4.566	1	unrelated
HG00735	HG00735	HG01099	HG01099	3.253	1	unrelated
HG00735	HG00735	HG01197	HG01197	3.408	1	unrelated
HG00735	HG00735	HG01199	HG01199	3.098	1	unrelated
HG00736	HG00736	HG00738	HG00738	52.845	4	parent-child
HG00736	HG00736	HG01061	HG01061	9.381	2	third-degree
HG00736	HG00736	HG01062	HG01062	9.911	1	third-degree
HG00736	HG00736	HG01183	HG01183	8.161000000000001	2	third-degree
HG00736	HG00736	HG01188	HG01188	5.536	1	third-degree
HG00737	HG00737	HG00738	HG00738	46.74	8	full-sibling
HG00737	HG00737	HG00740	HG00740	3.638	1	unrelated
HG00737	HG00737	HG00741	HG00741	7.083	2	third-degree
HG00737	HG00737	HG01108	HG01108	5.303	1	third-degree
HG00737	HG00737	HG01109	HG01109	5.303	1	third-degree
HG00737	HG00737	HG01182	HG01182	3.11	1	unrelated
HG00737	HG00737	HG01184	HG01184	3.457	1	unrelated
HG00737	HG00737	HG01188	HG01188	4.373	1	unrelated
HG00737	HG00737	HG01189	HG01189	4.373	1	unrelated
HG00738	HG00738	HG01061	HG01061	9.381	2	third-degree
HG00738	HG00738	HG01062	HG01062	9.911	1	third-degree
HG00738	HG00738	HG01073	HG01073	9.227	2	third-degree
HG00738	HG00738	HG01074	HG01074	9.227	1	third-degree
HG00738	HG00738	HG01106	HG01106	4.489	1	unrelated
HG00738	HG00738	HG01107	HG01107	3.298	1	unrelated
HG00738	HG00738	HG01108	HG01108	5.303	1	third-degree
HG00738	HG00738	HG01109	HG01109	5.303	1	third-degree
HG00738	HG00738	HG01176	HG01176	4.439	1	unrelated
HG00738	HG00738	HG01248	HG01248	3.298	1	unrelated
HG00739	HG00739	HG00741	HG00741	52.137	11	full-sibling
HG00740	HG00740	HG00741	HG00741	49.428	9	full-sibling
HG00740	HG00740	HG01050	HG01050	5.293	1	third-degree
HG00740	HG00740	HG01056	HG01056	3.332	1	unrelated
HG00740	HG00740	HG01060	HG01060	10.088000000000001	2	second-degree
HG00740	HG00740	HG01072	HG01072	8.031	2	third-degree
HG00740	HG00740	HG01083	HG01083	6.492	1	third-degree
HG00740	HG00740	HG01174	HG01174	3.521	1	unrelated
HG00740	HG00740	HG01175	HG01175	3.521	1	unrelated
HG00740	HG00740	HG01197	HG01197	4.152	1	unrelated
HG00740	HG00740	HG01199	HG01199	4.251	1	unrelated
HG00741	HG00741	HG01048	HG01048	3.163	1	unrelated
HG00741	HG00741	HG01050	HG01050	5.538	1	third-degree
HG00741	HG00741	HG01056	HG01056	3.233	1	unrelated
HG00741	HG00741	HG01060	HG01060	3.596	1	unrelated
HG00741	HG00741	HG01072	HG01072	4.251	1	unrelated
HG00741	HG00741	HG01197	HG01197	4.251	1	unrelated
HG00741	HG00741	HG01199	HG01199	4.152	1	unrelated
HG01047	HG01047	HG01052	HG01052	3.43	1	unrelated
HG01047	HG01047	HG01061	HG01061	4.107	1	unrelated
HG01047	HG01047	HG01062	HG01062	4.107	1	unrelated
HG01047	HG01047	HG01067	HG01067	3.756	1	unrelated
HG01047	HG01047	HG01068	HG01068	3.756	1	unrelated
HG01047	HG01047	HG01071	HG01071	3.051	1	unrelated
HG01047	HG01047	HG01098	HG01098	3.089	1	unrelated
HG01047	HG01047	HG01177	HG01177	10.677999999999999	3	second-degree
HG01047	HG01047	HG01197	HG01197	3.089	1	unrelated
HG01047	HG01047	HG01199	HG01199	3.089	1	unrelated
HG01048	HG01048	HG01050	HG01050	39.429	5	full-sibling
HG01048	HG01048	HG01080	HG01080	10.391	2	second-degree
HG01049	HG01049	HG01050	HG01050	22.174999999999997	4	full-sibling
HG01050	HG01050	HG01072	HG01072	3.626	1	unrelated
HG01050	HG01050	HG01101	HG01101	3.383	1	unrelated
HG01051	HG01051	HG01053	HG01053	46.292	8	full-sibling
HG01051	HG01051	HG01079	HG01079	6.707	1	third-degree
HG01051	HG01051	HG01081	HG01081	5.807	1	third-degree
