fid1	iid1	fid2	iid2	total_ibd_cm	num_segments	max_segment_cm	proportion_shared	predicted_relationship
HG00403	HG00403	HG00405	HG00405	44.836	7	9.639	0.8151999999999999	full-sibling
HG00404	HG00404	HG00405	HG00405	33.422	6	6.57	0.6076727272727273	full-sibling
HG00406	HG00406	HG00408	HG00408	43.425	7	12.229	0.7895454545454544	full-sibling
HG00407	HG00407	HG00408	HG00408	44.043	6	10.317	0.8007818181818182	full-sibling
HG00418	HG00418	HG00420	HG00420	54.762	9	13.398	0.9956727272727273	full-sibling
HG00418	HG00418	HG00427	HG00427	30.196	6	8.865	0.5490181818181818	full-sibling
HG00418	HG00418	HG00429	HG00429	4.061	1	4.061	0.07383636363636363	unrelated
HG00419	HG00419	HG00420	HG00420	53.473	7	14.938	0.9722363636363636	full-sibling
HG00420	HG00420	HG00427	HG00427	39.99	6	10.676	0.7270909090909091	full-sibling
HG00420	HG00420	HG00429	HG00429	4.736	1	4.736	0.0861090909090909	unrelated
HG00421	HG00421	HG00423	HG00423	37.371	8	5.927	0.6794727272727273	full-sibling
HG00422	HG00422	HG00423	HG00423	44.412	7	11.524	0.807490909090909	full-sibling
HG00427	HG00427	HG00429	HG00429	50.386	9	10.616	0.916109090909091	full-sibling
HG00428	HG00428	HG00429	HG00429	50.741	8	10.245	0.9225636363636364	full-sibling
HG00436	HG00436	HG00438	HG00438	42.169	6	10.741	0.7667090909090909	full-sibling
HG00437	HG00437	HG00438	HG00438	41.869	6	17.04	0.7612545454545454	full-sibling
HG00442	HG00442	HG00444	HG00444	60.171	8	18.546	1.0940181818181818	full-sibling
HG00443	HG00443	HG00444	HG00444	42.221	7	14.543	0.7676545454545454	full-sibling
HG00445	HG00445	HG00447	HG00447	38.234	7	13.905	0.6951636363636364	full-sibling
HG00446	HG00446	HG00447	HG00447	38.386	7	11.707	0.6979272727272727	full-sibling
HG00446	HG00446	HG00514	HG00514	3.273	1	3.273	0.059509090909090914	unrelated
HG00448	HG00448	HG00450	HG00450	52.897	9	10.814	0.9617636363636364	full-sibling
HG00449	HG00449	HG00450	HG00450	46.427	8	10.602	0.8441272727272727	full-sibling
HG00451	HG00451	HG00453	HG00453	45.476	9	6.887	0.8268363636363636	full-sibling
HG00452	HG00452	HG00453	HG00453	33.188	5	9.487	0.6034181818181819	full-sibling
HG00457	HG00457	HG00459	HG00459	45.153999999999996	6	20.337	0.8209818181818181	full-sibling
HG00457	HG00457	HG00476	HG00476	4.533	1	4.533	0.08241818181818182	unrelated
HG00458	HG00458	HG00459	HG00459	43.718	7	10.331	0.7948727272727273	full-sibling
HG00459	HG00459	HG00476	HG00476	12.454	2	9.343	0.22643636363636366	second-degree
HG00463	HG00463	HG00465	HG00465	52.937	5	24.929	0.9624909090909091	full-sibling
HG00463	HG00463	HG00478	HG00478	13.106	3	6.304	0.23829090909090908	second-degree
HG00463	HG00463	HG00480	HG00480	12.688	2	6.384	0.2306909090909091	second-degree
HG00464	HG00464	HG00465	HG00465	45.037	9	8.504	0.8188545454545454	full-sibling
HG00465	HG00465	HG00478	HG00478	6.304	1	6.304	0.11461818181818183	third-degree
HG00465	HG00465	HG00480	HG00480	6.304	1	6.304	0.11461818181818183	third-degree
HG00472	HG00472	HG00474	HG00474	47.041	9	7.596	0.855290909090909	full-sibling
HG00473	HG00473	HG00474	HG00474	43.363	6	9.368	0.7884181818181818	full-sibling
HG00475	HG00475	HG00477	HG00477	41.668	8	9.986	0.7575999999999999	full-sibling
HG00475	HG00475	HG00500	HG00500	4.532	1	4.532	0.0824	unrelated
HG00475	HG00475	HG00542	HG00542	8.808	2	5.529	0.16014545454545454	third-degree
HG00475	HG00475	HG00544	HG00544	4.844	1	4.844	0.08807272727272727	unrelated
HG00476	HG00476	HG00477	HG00477	58.399	9	12.306	1.0618	full-sibling
HG00477	HG00477	HG00500	HG00500	9.443	2	4.911	0.1716909090909091	third-degree
HG00478	HG00478	HG00480	HG00480	42.59	6	10.31	0.7743636363636365	full-sibling
HG00479	HG00479	HG00480	HG00480	34.691	7	7.417	0.6307454545454546	full-sibling
HG00500	HG00500	HG00502	HG00502	54.98	9	20.014	0.9996363636363635	full-sibling
HG00501	HG00501	HG00502	HG00502	56.383	11	10.025	1.0251454545454546	full-sibling
HG00501	HG00501	HG00512	HG00512	76.274	14	8.796	1.3868	full-sibling
HG00501	HG00501	HG00514	HG00514	50.651	10	9.066	0.9209272727272728	full-sibling
HG00502	HG00502	HG00512	HG00512	53.172	7	12.688	0.9667636363636363	full-sibling
HG00502	HG00502	HG00514	HG00514	31.396	4	12.205	0.5708363636363637	full-sibling
HG00512	HG00512	HG00514	HG00514	51.539	6	13.335	0.9370727272727273	full-sibling
HG00513	HG00513	HG00514	HG00514	51.226	7	20.129	0.9313818181818182	full-sibling
HG00524	HG00524	HG00526	HG00526	48.788	6	18.306	0.8870545454545454	full-sibling
HG00524	HG00524	HG00535	HG00535	3.509	1	3.509	0.0638	unrelated
HG00525	HG00525	HG00525	HG00525	11.355	2	6.511	0.20645454545454547	second-degree
HG00525	HG00525	HG00526	HG00526	61.95	8	15.748	1.1263636363636365	full-sibling
HG00526	HG00526	HG00535	HG00535	3.509	1	3.509	0.0638	unrelated
HG00530	HG00530	HG00532	HG00532	38.094	6	10.112	0.6926181818181818	full-sibling
HG00531	HG00531	HG00532	HG00532	43.805	7	8.843	0.7964545454545454	full-sibling
HG00533	HG00533	HG00535	HG00535	43.216	9	7.726	0.7857454545454545	full-sibling
HG00534	HG00534	HG00535	HG00535	48.323	7	12.65	0.8786	full-sibling
HG00536	HG00536	HG00538	HG00538	53.589999999999996	6	16.152	0.9743636363636363	full-sibling
HG00537	HG00537	HG00538	HG00538	30.916	6	6.873	0.5621090909090909	full-sibling
